#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-132.55,5132.1)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.29,0.0,-132.55,-0.0
1,1000,0.29,3.39,-132.55,-0.01
2,1000,0.3,6.74,-132.55,-0.02
4,1000,0.3,13.53,-132.55,-0.03
8,1000,0.29,27.3,-132.55,-0.06
16,1000,0.3,54.14,-132.55,-0.12
32,1000,0.3,105.84,-132.55,-0.24
64,1000,0.3,212.42,-132.54,-0.48
128,1000,0.3,420.88,-132.53,-0.97
256,1000,0.32,795.66,-132.5,-1.93
512,1000,0.57,893.95,-132.45,-3.87
1024,1000,0.61,1680.75,-132.35,-7.74
2048,1000,0.74,2755.03,-132.15,-15.5
4096,1000,0.97,4243.69,-131.76,-31.09
8192,1000,1.51,5435.74,-130.96,-62.55
16384,1000,2.36,6943.74,-129.36,-126.65
32768,1000,3.56,9207.65,-126.17,-259.71
65536,640,5.94,11031.65,-119.78,-547.14
131072,320,8.82,14865.07,-107.01,-1224.86
262144,160,15.79,16603.74,-81.47,-3217.68
524288,80,42.47,12344.73,-30.4,-17246.32
1048576,40,84.84,12359.03,71.76,14612.26
2097152,20,161.76,12964.76,276.08,7596.18
4194304,10,408.7,10262.59,684.71,6125.66
8388608,5,1034.56,8108.39,1501.98,5585.03
16777216,2,2128.22,7883.22,3136.52,5348.99
33554432,1,5993.16,5598.79,6405.59,5238.3
67108864,1,12480.97,5376.89,12943.73,5184.66
134217728,1,25645.71,5233.54,26020.01,5158.25
268435456,1,52609.4,5102.42,52172.58,5145.14
