#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-125.53,5130.5)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.49,0.0,-125.53,-0.0
1,1000,0.53,1.88,-125.53,-0.01
2,1000,0.53,3.77,-125.53,-0.02
4,1000,0.45,8.98,-125.53,-0.03
8,1000,0.47,17.06,-125.53,-0.06
16,1000,0.47,34.31,-125.53,-0.13
32,1000,0.46,69.14,-125.52,-0.25
64,1000,0.52,123.65,-125.52,-0.51
128,1000,0.47,271.78,-125.5,-1.02
256,1000,0.5,513.16,-125.48,-2.04
512,1000,0.74,691.8,-125.43,-4.08
1024,1000,0.84,1224.49,-125.33,-8.17
2048,1000,0.97,2115.93,-125.13,-16.37
4096,1000,1.19,3452.54,-124.73,-32.84
8192,1000,1.61,5098.06,-123.93,-66.1
16384,1000,2.45,6678.43,-122.34,-133.92
32768,1000,3.59,9124.46,-119.14,-275.04
65536,640,5.97,10985.41,-112.75,-581.25
131072,320,8.83,14850.17,-99.98,-1310.98
262144,160,16.18,16206.46,-74.43,-3522.02
524288,80,41.54,12621.09,-23.34,-22463.07
1048576,40,84.37,12428.52,78.85,13298.36
2097152,20,167.24,12539.89,283.23,7404.41
4194304,10,403.09,10405.36,691.99,6061.22
8388608,5,1027.72,8162.34,1509.51,5557.17
16777216,2,2181.33,7691.29,3144.54,5335.35
33554432,1,6070.91,5527.09,6414.62,5230.93
67108864,1,12510.33,5364.28,12954.76,5180.25
134217728,1,25790.23,5204.21,26035.05,5155.27
268435456,1,52552.44,5107.95,52195.63,5142.87
