#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS=ofi ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-100.38,5076.0)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.49,0.0,-100.38,-0.0
1,1000,0.5,2.02,-100.38,-0.01
2,1000,0.49,4.06,-100.38,-0.02
4,1000,0.49,8.12,-100.38,-0.04
8,1000,0.49,16.34,-100.38,-0.08
16,1000,0.49,32.55,-100.38,-0.16
32,1000,0.68,47.32,-100.38,-0.32
64,1000,0.67,95.27,-100.37,-0.64
128,1000,1.2,106.37,-100.36,-1.28
256,1000,1.23,207.69,-100.33,-2.55
512,1000,1.31,389.89,-100.28,-5.11
1024,1000,1.62,632.36,-100.18,-10.22
2048,1000,2.24,913.5,-99.98,-20.48
4096,1000,3.11,1318.21,-99.58,-41.13
8192,1000,4.8,1706.56,-98.77,-82.94
16384,1000,4.9,3344.27,-97.16,-168.63
32768,1000,5.66,5793.54,-93.93,-348.86
65536,640,7.13,9188.3,-87.47,-749.24
131072,320,9.5,13791.57,-74.56,-1757.94
262144,160,14.92,17571.65,-48.74,-5378.42
524288,80,25.91,20232.68,2.9,180788.97
1048576,40,61.94,16928.76,106.19,9874.53
2097152,20,157.2,13340.74,312.77,6705.09
4194304,10,340.64,12313.03,725.92,5777.91
8388608,5,766.99,10937.01,1552.22,5404.26
16777216,2,2345.02,7154.4,3204.83,5234.98
33554432,1,6425.21,5222.31,6510.04,5154.26
67108864,1,13180.95,5091.35,13120.47,5114.82
134217728,1,26709.74,5025.05,26341.31,5095.33
268435456,1,52679.77,5095.61,52783.01,5085.64
