#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,23 -genv I_MPI_FABRICS=shm ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-99.6,4340.0)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.44,0.0,-99.6,-0.0
1,1000,0.44,2.25,-99.6,-0.01
2,1000,0.45,4.44,-99.6,-0.02
4,1000,0.45,8.93,-99.6,-0.04
8,1000,0.45,17.79,-99.6,-0.08
16,1000,0.44,36.04,-99.6,-0.16
32,1000,0.49,65.85,-99.6,-0.32
64,1000,0.48,133.23,-99.59,-0.64
128,1000,0.6,214.63,-99.57,-1.29
256,1000,0.62,411.24,-99.54,-2.57
512,1000,0.96,534.81,-99.48,-5.15
1024,1000,0.98,1044.35,-99.37,-10.3
2048,1000,1.12,1833.68,-99.13,-20.66
4096,1000,1.64,2502.66,-98.66,-41.52
8192,1000,2.06,3982.86,-97.72,-83.83
16384,1000,3.61,4533.62,-95.83,-170.97
32768,1000,5.38,6095.55,-92.05,-355.98
65536,640,9.17,7147.35,-84.5,-775.57
131072,320,15.11,8672.32,-69.4,-1888.65
262144,160,28.73,9123.07,-39.2,-6687.35
524288,80,65.1,8053.73,21.2,24730.57
1048576,40,130.23,8051.51,142.0,7384.34
2097152,20,253.7,8266.2,383.61,5466.89
4194304,10,502.74,8342.93,866.82,4838.73
8388608,5,1067.75,7856.36,1833.24,4575.84
16777216,2,2367.87,7085.36,3766.09,4454.81
33554432,1,7816.59,4292.72,7631.78,4396.67
67108864,1,15688.72,4277.52,15363.16,4368.17
134217728,1,31139.94,4310.15,30825.93,4354.05
268435456,1,61607.79,4357.17,61751.46,4347.03
