#header_line 1: command line used: mpirun -np 2 --map-by core --mca pml ob1 --mca btl self,vader ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pg-gnode001
#header_line 3: (latency, bandwidth) computed by fitting data = (-7.74,4102.3)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.28,0.0,-7.74,-0.0
1,1000,0.32,3.11,-7.73,-0.13
2,1000,0.32,6.34,-7.73,-0.26
4,1000,0.31,12.72,-7.73,-0.52
8,1000,0.32,25.26,-7.73,-1.03
16,1000,0.32,49.48,-7.73,-2.07
32,1000,0.33,98.06,-7.73,-4.14
64,1000,0.35,183.58,-7.72,-8.29
128,1000,0.4,323.49,-7.7,-16.62
256,1000,0.47,549.04,-7.67,-33.38
512,1000,0.73,704.33,-7.61,-67.28
1024,1000,0.79,1292.08,-7.49,-136.72
2048,1000,0.9,2265.12,-7.24,-282.87
4096,1000,1.8,2270.05,-6.74,-607.72
8192,1000,2.13,3843.17,-5.74,-1427.18
16384,1000,2.64,6194.66,-3.74,-4380.75
32768,1000,3.77,8687.67,0.25,131072.0
65536,640,5.47,11974.21,8.24,7953.4
131072,320,9.64,13595.27,24.22,5411.73
262144,160,17.06,15361.92,56.17,4666.98
524288,80,37.68,13915.87,120.07,4366.52
1048576,40,99.04,10587.04,247.87,4230.35
2097152,20,244.46,8578.65,503.48,4165.31
4194304,10,588.48,7127.32,1014.7,4133.54
8388608,5,1715.1,4891.02,2037.13,4117.86
16777216,2,4045.0,4147.64,4081.99,4110.06
33554432,1,8703.72,3855.18,8171.72,4106.17
67108864,1,17044.0,3937.39,16351.18,4104.22
134217728,1,33096.6,4055.33,32710.09,4103.25
268435456,1,65016.8,4128.71,65427.91,4102.77
