#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-92.39,5570.6)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.23,0.0,-92.39,-0.0
1,1000,0.23,4.3,-92.39,-0.01
2,1000,0.23,8.57,-92.39,-0.02
4,1000,0.23,17.17,-92.39,-0.04
8,1000,0.23,34.34,-92.39,-0.09
16,1000,0.23,68.53,-92.39,-0.17
32,1000,0.24,131.99,-92.39,-0.35
64,1000,0.24,263.42,-92.38,-0.69
128,1000,0.26,491.27,-92.37,-1.39
256,1000,0.28,909.14,-92.35,-2.77
512,1000,0.42,1215.47,-92.3,-5.55
1024,1000,0.45,2298.46,-92.21,-11.11
2048,1000,0.58,3501.32,-92.02,-22.26
4096,1000,0.87,4720.88,-91.66,-44.69
8192,1000,1.39,5876.54,-90.92,-90.1
16384,1000,2.35,6960.02,-89.45,-183.16
32768,1000,3.52,9311.55,-86.51,-378.78
65536,640,5.59,11725.12,-80.63,-812.8
131072,320,8.62,15213.14,-68.86,-1903.46
262144,160,14.76,17759.91,-45.33,-5783.01
524288,80,40.21,13037.74,1.73,303056.65
1048576,40,80.45,13034.55,95.84,10940.9
2097152,20,152.7,13733.74,284.08,7382.26
4194304,10,387.9,10812.9,660.54,6349.81
8388608,5,1096.16,7652.71,1413.48,5934.72
16777216,2,2407.71,6968.11,2919.35,5746.9
33554432,1,5833.84,5751.69,5931.1,5657.37
67108864,1,11654.13,5758.38,11954.58,5613.65
134217728,1,23358.86,5745.9,24001.56,5592.04
268435456,1,48551.16,5528.92,48095.51,5581.3
