#header_line 1: command line used: mpirun -np 2 -genv I_MPI_DEBUG=4 -genv I_MPI_PIN_PROCESSOR_LIST=0,22 -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-88.38,5562.9)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.51,0.0,-88.38,-0.0
1,1000,0.49,2.03,-88.37,-0.01
2,1000,0.49,4.04,-88.37,-0.02
4,1000,0.5,7.95,-88.37,-0.05
8,1000,0.49,16.35,-88.37,-0.09
16,1000,0.5,32.19,-88.37,-0.18
32,1000,0.51,62.55,-88.37,-0.36
64,1000,0.51,126.32,-88.36,-0.72
128,1000,0.52,244.54,-88.35,-1.45
256,1000,0.54,472.92,-88.33,-2.9
512,1000,0.7,731.71,-88.28,-5.8
1024,1000,0.74,1376.59,-88.19,-11.61
2048,1000,0.9,2274.72,-88.01,-23.27
4096,1000,1.16,3538.87,-87.64,-46.74
8192,1000,1.56,5259.61,-86.9,-94.27
16384,1000,2.37,6914.58,-85.43,-191.78
32768,1000,3.55,9235.28,-82.48,-397.28
65536,640,5.66,11575.67,-76.59,-855.67
131072,320,8.63,15180.11,-64.81,-2022.4
262144,160,14.84,17664.17,-41.25,-6355.01
524288,80,41.52,12627.93,5.87,89316.52
1048576,40,81.32,12894.42,100.12,10473.19
2097152,20,153.34,13676.36,288.61,7266.39
4194304,10,386.98,10838.52,665.6,6301.54
8388608,5,1099.56,7629.03,1419.57,5909.26
16777216,2,2540.32,6604.38,2927.51,5730.88
33554432,1,5835.46,5750.09,5943.39,5645.67
67108864,1,11648.07,5761.37,11975.16,5604.01
134217728,1,23410.88,5733.14,24038.7,5583.4
268435456,1,48614.44,5521.72,48165.78,5573.16
