#header_line 1: command line used: mpirun -np 2 --map-by core --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-2.84,5349.8)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,4.87,0.0,-2.84,-0.0
1,1000,4.96,0.2,-2.84,-0.35
2,1000,4.96,0.4,-2.83,-0.71
4,1000,4.96,0.81,-2.83,-1.41
8,1000,4.98,1.61,-2.83,-2.83
16,1000,4.97,3.22,-2.83,-5.65
32,1000,4.96,6.45,-2.83,-11.31
64,1000,4.98,12.84,-2.82,-22.7
128,1000,5.07,25.25,-2.81,-45.55
256,1000,5.1,50.21,-2.79,-91.76
512,1000,5.13,99.83,-2.74,-186.86
1024,1000,5.67,180.61,-2.64,-387.88
2048,1000,5.47,374.51,-2.45,-835.92
4096,1000,6.38,642.34,-2.07,-1978.74
8192,1000,6.86,1194.27,-1.3,-6301.54
16384,1000,8.93,1835.57,0.23,71234.78
32768,1000,14.56,2249.87,3.29,9959.88
65536,640,27.99,2341.07,9.41,6964.51
131072,320,40.47,3238.4,21.66,6051.34
262144,160,56.66,4626.87,46.17,5677.8
524288,80,87.86,5967.36,95.17,5508.96
1048576,40,148.61,7055.88,193.17,5428.25
2097152,20,284.79,7363.79,389.17,5388.78
4194304,10,587.37,7140.88,781.17,5369.26
8388608,5,1459.32,5748.3,1565.18,5359.52
16777216,2,3154.05,5319.27,3133.19,5354.68
33554432,1,6341.18,5291.51,6269.21,5352.26
67108864,1,12680.13,5292.44,12541.25,5351.05
134217728,1,25235.82,5318.54,25085.33,5350.45
268435456,1,50060.54,5362.22,50173.49,5350.15
