#header_line 1: command line used: mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
#header_line 2: list of nodes involved: ct1pt-tnode007
#header_line 3: (latency, bandwidth) computed by fitting data = (-13.14,3274.2)
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,7.52,0.0,-13.14,-0.0
1,1000,7.6,0.13,-13.14,-0.08
2,1000,7.61,0.26,-13.14,-0.15
4,1000,7.61,0.53,-13.13,-0.3
8,1000,7.57,1.06,-13.13,-0.61
16,1000,7.62,2.1,-13.13,-1.22
32,1000,7.59,4.22,-13.13,-2.44
64,1000,7.63,8.39,-13.12,-4.88
128,1000,7.9,16.19,-13.1,-9.77
256,1000,7.92,32.34,-13.06,-19.6
512,1000,7.98,64.18,-12.98,-39.45
1024,1000,9.04,113.29,-12.82,-79.88
2048,1000,8.52,240.31,-12.51,-163.71
4096,1000,10.37,394.84,-11.88,-344.78
8192,1000,11.22,730.44,-10.63,-770.65
16384,1000,15.48,1058.71,-8.13,-2015.25
32768,1000,26.16,1252.54,-3.13,-10469.01
65536,640,57.14,1146.9,6.88,9525.58
131072,320,81.13,1615.63,26.9,4872.57
262144,160,122.66,2137.1,66.93,3916.69
524288,80,192.23,2727.39,146.99,3566.83
1048576,40,329.84,3179.0,307.12,3414.22
2097152,20,627.23,3343.5,627.38,3342.71
4194304,10,1224.41,3425.56,1267.89,3308.1
8388608,5,2444.54,3431.57,2548.91,3291.06
16777216,2,5030.92,3334.82,5110.96,3282.6
33554432,1,10258.36,3270.93,10235.06,3278.38
67108864,1,20414.81,3287.26,20483.26,3276.28
134217728,1,40286.72,3331.56,40979.67,3275.23
268435456,1,82341.81,3260.01,81972.47,3274.7
